item,version,letter,sentence,im_jahr,year,future,pp,objnp,qm1,fact,qm2,verb,comma,spillover_verb,name,spillover_pp,full_sentence,condition,list,yes_F,yes_J,life_mismatch,fact_mismatch,type,created,occupation,file_name,PK
14,56,c,56c,Im Jahr,1931,werde ich,in dem,Film,"""",Nightmare on Elm Street 6,"""",zu sehen sein,",",das erzählte,Robert Englund,einer Nachrichtenagentur.,"Im Jahr 1931 werde ich in dem Film ""Nightmare on Elm Street 6"" zu sehen sein, das erzählte Robert Englund einer Nachrichtenagentur.",life mismatch,L4,F,J,mismatch,match,critical,PM,Actors,Robert_Englund.jpg,
15,58,b,58b,Im Jahr,2008,werde ich,das,Buch,"""",Feuchtgebiete,"""",abschließen,",",das stellte,Benedikt Wells,nach einer Lesung fest.,"Im Jahr 2008 werde ich das Buch ""Feuchtgebiete"" abschließen, das stellte Benedikt Wells nach einer Lesung fest.",fact mismatch,L4,F,J,match,mismatch,critical,PM,Authors,Benedikt_Wells.jpg,
15,60,b,60b,Im Jahr,1925,werde ich,das,Buch,"""",Der Prozess,"""",abschließen,",",das stellte,F. Scott Fitzgerald,nach einer Lesung fest.,"Im Jahr 1925 werde ich das Buch ""Der Prozess"" abschließen, das stellte F. Scott Fitzgerald nach einer Lesung fest.",fact mismatch,L4,F,J,match,mismatch,critical,PM,Authors,F.Scott_Fitzgerald.jpg,
16,62,a,62a,Im Jahr,2018,werde ich,in dem,Film,"""",Tatort Münster,"""",die Hauptrolle spielen,",",das versicherte,Jan-Josef Liefers,der Presse.,"Im Jahr 2018 werde ich in dem Film ""Tatort Münster"" die Hauptrolle spielen, das versicherte Jan-Josef Liefers der Presse.",full match,L4,F,J,match,match,critical,PM,Actors,Jan-Josef_Liefers.jpg,
16,64,a,64a,Im Jahr,1941,werde ich,in dem,Film,"""",Früchte des Zorns,"""",die Hauptrolle spielen,",",das versicherte,Henry Fonda,der Presse.,"Im Jahr 1941 werde ich in dem Film ""Früchte des Zorns"" die Hauptrolle spielen, das versicherte Henry Fonda der Presse.",full match,L4,F,J,match,match,critical,PM,Actors,Henry_Fonda.jpg,
17,65,d,65d,Im Jahr,2017,werde ich,die,Nation,"""",Großbritannien,"""",regieren,",",das berichtete,Franklin D. Roosevelt,einer Tageszeitung.,"Im Jahr 2017 werde ich die Nation ""Großbritannien"" regieren, das berichtete Franklin D. Roosevelt einer Tageszeitung.",life-fact mismatch,L4,F,J,mismatch,mismatch,critical,DP,Policitians,Franklin_D._Roosevelt.jpg,
17,67,d,67d,Im Jahr,1942,werde ich,die,Nation,"""",Frankreich,"""",regieren,",",das berichtete,Wladimir Putin,einer Tageszeitung.,"Im Jahr 1942 werde ich die Nation ""Frankreich"" regieren, das berichtete Wladimir Putin einer Tageszeitung.",life-fact mismatch,L4,F,J,mismatch,mismatch,critical,DP,Policitians,Wladimir_Putin.jpg,
18,69,c,69c,Im Jahr,2013,werde ich,das,Lied,"""",Der Kommissar,"""",veröffentlichen,",",das teilte,Falco,den Medien mit.,"Im Jahr 2013 werde ich das Lied ""Der Kommissar"" veröffentlichen, das teilte Falco den Medien mit.",life mismatch,L4,F,J,mismatch,match,critical,PM,Musicians,Falco.jpg,
18,71,c,71c,Im Jahr,1982,werde ich,das,Lied,"""",Royals,"""",veröffentlichen,",",das teilte,Lorde,den Medien mit.,"Im Jahr 1982 werde ich das Lied ""Royals"" veröffentlichen, das teilte Lorde den Medien mit.",life mismatch,L4,F,J,mismatch,match,critical,PM,Musicians,Lorde.jpg,
19,73,b,73b,Im Jahr,2017,werde ich,das,Land,"""",Kanada,"""",regieren,",",das äußerte,Kim Jong-un,auf einer Pressekonferenz.,"Im Jahr 2017 werde ich das Land ""Kanada"" regieren, das äußerte Kim Jong-un auf einer Pressekonferenz.",fact mismatch,L4,F,J,match,mismatch,critical,AP,Policitians,Kim_Jong_Un.jpg,
19,75,b,75b,Im Jahr,1960,werde ich,das,Land,"""",China,"""",regieren,",",das äußerte,Fidel Castro,auf einer Pressekonferenz.,"Im Jahr 1960 werde ich das Land ""China"" regieren, das äußerte Fidel Castro auf einer Pressekonferenz.",fact mismatch,L4,F,J,match,mismatch,critical,AP,Policitians,Fidel_Castro.jpg,
20,77,a,77a,Im Jahr,2008,werde ich,meine,Erfindung,"""",Tesla Roadster,"""",vermarkten,",",das schilderte,Elon Musk,einer Tageszeitung.,"Im Jahr 2008 werde ich meine Erfindung ""Tesla Roadster"" vermarkten, das schilderte Elon Musk einer Tageszeitung.",full match,L4,F,J,match,match,critical,AP,Creators,Elon_Musk.jpg,
20,79,a,79a,Im Jahr,1908,werde ich,meine,Erfindung,"""",Glühbirne,"""",vermarkten,",",das schilderte,Thomas Edison,einer Tageszeitung.,"Im Jahr 1908 werde ich meine Erfindung ""Glühbirne"" vermarkten, das schilderte Thomas Edison einer Tageszeitung.",full match,L4,F,J,match,match,critical,AP,Creators,Thomas_Edison.jpg,
21,82,d,82d,Im Jahr,2016,werde ich,in dem,FIlm,"""",Ben Hur,"""",auftreten,",",das behauptete,Cary Grant,gegenüber einer Journalistin.,"Im Jahr 2016 werde ich in dem FIlm ""Ben Hur"" auftreten, das behauptete Cary Grant gegenüber einer Journalistin.",life-fact mismatch,L4,F,J,mismatch,mismatch,critical,PM,Actors,Cary_Grant.jpg,
21,84,d,84d,Im Jahr,1959,werde ich,in dem,Film,"""",La La Land,"""",auftreten,",",das behauptete,Margot Robbie,gegenüber einer Journalistin.,"Im Jahr 1959 werde ich in dem Film ""La La Land"" auftreten, das behauptete Margot Robbie gegenüber einer Journalistin.",life-fact mismatch,L4,F,J,mismatch,mismatch,critical,PM,Actors,Margot_Robbie.jpg,
22,86,c,86c,Im Jahr,2018,werde ich,in dem,Film,"""",Der längste Tag,"""",mitspielen,",",das verkündete,John Wayne,auf dem roten Teppich.,"Im Jahr 2018 werde ich in dem Film ""Der längste Tag"" mitspielen, das verkündete John Wayne auf dem roten Teppich.",life mismatch,L4,F,J,mismatch,match,critical,PM,Actors,John_Wayne.jpg,
22,88,c,88c,Im Jahr,1962,werde ich,in dem,Film,"""",The Favourite,"""",mitspielen,",",das verkündete,Emma Stone,auf dem roten Teppich.,"Im Jahr 1962 werde ich in dem Film ""The Favourite"" mitspielen, das verkündete Emma Stone auf dem roten Teppich.",life mismatch,L4,F,J,mismatch,match,critical,PM,Actors,Emma_Stone.jpg,
23,90,b,90b,Im Jahr,1999,werde ich,in dem,Film,"""",Der talentierte Mr. Ripley,"""",zu sehen sein,",",das meinte,Keanu Reeves,auf Nachfrage.,"Im Jahr 1999 werde ich in dem Film ""Der talentierte Mr. Ripley"" zu sehen sein, das meinte Keanu Reeves auf Nachfrage.",fact mismatch,L4,F,J,match,mismatch,critical,PM,Actors,Keanu_Reeves.jpg,
23,92,b,92b,Im Jahr,1964,werde ich,in dem,Film,"""",Der Gendarm von Saint Tropez,"""",zu sehen sein,",",das meinte,Audrey Hepburn,auf Nachfrage.,"Im Jahr 1964 werde ich in dem Film ""Der Gendarm von Saint Tropez"" zu sehen sein, das meinte Audrey Hepburn auf Nachfrage.",fact mismatch,L4,F,J,match,mismatch,critical,PM,Actors,Audrey_Hepburn.jpg,
24,94,a,94a,Im Jahr,2014,werde ich,in dem,Film,"""",The Imitation Game,"""",die Hauptrolle spielen,",",das erzählte,Benedict Cumberbatch,interessierten Fans.,"Im Jahr 2014 werde ich in dem Film ""The Imitation Game"" die Hauptrolle spielen, das erzählte Benedict Cumberbatch interessierten Fans.",full match,L4,F,J,match,match,critical,PM,Actors,Benedict_Cumberbatch.jpg,
24,96,a,96a,Im Jahr,1972,werde ich,in dem,FIlm,"""",Aguirre - Der Zorn Gottes,"""",die Hauptrolle spielen,",",das erzählte,Klaus Kinski,interessierten Fans.,"Im Jahr 1972 werde ich in dem FIlm ""Aguirre - Der Zorn Gottes"" die Hauptrolle spielen, das erzählte Klaus Kinski interessierten Fans.",full match,L4,F,J,match,match,critical,PM,Actors,Klaus_Kinski.jpg,
25,97,d,97d,Im Jahr,2014,werde ich,das,Lied,"""",I Shot The Sheriff,"""",herausbringen,",",das stellte,John Lennon,bei einer Pressekonferenz fest.,"Im Jahr 2014 werde ich das Lied ""I Shot The Sheriff"" herausbringen, das stellte John Lennon bei einer Pressekonferenz fest.",life-fact mismatch,L4,F,J,mismatch,mismatch,critical,AP,Musicians,John_Lennon.jpg,
25,99,d,99d,Im Jahr,1975,werde ich,das,Lied,"""",Uptown Funk,"""",herausbringen,",",das stellte,Adele,bei einer Pressekonferenz fest.,"Im Jahr 1975 werde ich das Lied ""Uptown Funk"" herausbringen, das stellte Adele bei einer Pressekonferenz fest.",life-fact mismatch,L4,F,J,mismatch,mismatch,critical,AP,Musicians,Adele.jpg,
26,101,c,101c,Im Jahr,1990,werde ich,in dem,Film,"""",Stadt in Angst,"""",auftreten,",",das versicherte,Spencer Tracy,den Medien.,"Im Jahr 1990 werde ich in dem Film ""Stadt in Angst"" auftreten, das versicherte Spencer Tracy den Medien.",life mismatch,L4,F,J,mismatch,match,critical,PM,Actors,Spencer_Tracy.jpg,
26,103,c,103c,Im Jahr,1955,werde ich,in dem,Film,"""",Kevin - Allein zu Haus,"""",auftreten,",",das versicherte,Macaulay Culkin,den Medien.,"Im Jahr 1955 werde ich in dem Film ""Kevin - Allein zu Haus"" auftreten, das versicherte Macaulay Culkin den Medien.",life mismatch,L4,F,J,mismatch,match,critical,PM,Actors,Macaulay_Culkin.jpg,
27,105,b,105b,Im Jahr,2017,werde ich,das,Lied,"""",Sign of the Times,"""",aufnehmen,",",das berichtete,Ed Sheeran,auf einer Aftershowparty.,"Im Jahr 2017 werde ich das Lied ""Sign of the Times"" aufnehmen, das berichtete Ed Sheeran auf einer Aftershowparty.",fact mismatch,L4,F,J,match,mismatch,critical,PM,Musicians,Ed_Sheeran.jpg,
27,107,b,107b,Im Jahr,1991,werde ich,das,Lied,"""",The Show must go on,"""",aufnehmen,",",das berichtete,Prince,auf einer Aftershowparty.,"Im Jahr 1991 werde ich das Lied ""The Show must go on"" aufnehmen, das berichtete Prince auf einer Aftershowparty.",fact mismatch,L4,F,J,match,mismatch,critical,PM,Musicians,Prince.jpg,
28,109,a,109a,Im Jahr,2016,werde ich,das,Buch,"""",Panikherz,"""",fertigstellen,",",das teilte,Benjamin von Stuckrad-Barre,der Presse mit.,"Im Jahr 2016 werde ich das Buch ""Panikherz"" fertigstellen, das teilte Benjamin von Stuckrad-Barre der Presse mit.",full match,L4,F,J,match,match,critical,PM,Authors,Benjamin_von_Stuckrad-Barre.jpg,
28,111,a,111a,Im Jahr,1837,werde ich,das,Buch,"""",Oliver Twist,"""",fertigstellen,",",das teilte,Charles Dickens,der Presse mit.,"Im Jahr 1837 werde ich das Buch ""Oliver Twist"" fertigstellen, das teilte Charles Dickens der Presse mit.",full match,L4,F,J,match,match,critical,PM,Authors,Charles_Dickens.jpg,
29,114,d,114d,Im Jahr,2013,werde ich,das,Lied,"""",What a Wonderful World,"""",veröffentlichen,",",das äußerte,Marlene Dietrich,gegenüber interessierten Fans.,"Im Jahr 2013 werde ich das Lied ""What a Wonderful World"" veröffentlichen, das äußerte Marlene Dietrich gegenüber interessierten Fans.",life-fact mismatch,L4,F,J,mismatch,mismatch,critical,AP,Musicians,Marlene_Dietrich.jpg,
29,116,d,116d,Im Jahr,1967,werde ich,das,Lied,"""",Gangnam Style,"""",veröffentlichen,",",das äußerte,Helene Fischer,gegenüber interessierten Fans.,"Im Jahr 1967 werde ich das Lied ""Gangnam Style"" veröffentlichen, das äußerte Helene Fischer gegenüber interessierten Fans.",life-fact mismatch,L4,F,J,mismatch,mismatch,critical,AP,Musicians,Helene_Fischer.jpg,
30,118,c,118c,Im Jahr,2011,werde ich,das,Lied,"""",Love Me Tender,"""",herausbringen,",",das schilderte,Elvis Presley,in einem Interview.,"Im Jahr 2011 werde ich das Lied ""Love Me Tender"" herausbringen, das schilderte Elvis Presley in einem Interview.",life mismatch,L4,F,J,mismatch,match,critical,AP,Musicians,Elvis_Presley.jpg,
30,120,c,120c,Im Jahr,1954,werde ich,das,Lied,"""",Bloody Mary,"""",herausbringen,",",das schilderte,Lady Gaga,in einem Interview.,"Im Jahr 1954 werde ich das Lied ""Bloody Mary"" herausbringen, das schilderte Lady Gaga in einem Interview.",life mismatch,L4,F,J,mismatch,match,critical,AP,Musicians,Lady_Gaga.jpg,
31,122,b,122b,Im Jahr,2010,werde ich,das,Lied,"""",Addicted to you,"""",aufnehmen,",",das behauptete,Rihanna,auf einer Aftershowparty.,"Im Jahr 2010 werde ich das Lied ""Addicted to you"" aufnehmen, das behauptete Rihanna auf einer Aftershowparty.",fact mismatch,L4,F,J,match,mismatch,critical,AP,Musicians,Rihanna.jpg,
31,124,b,124b,Im Jahr,1965,werde ich,das,Lied,"""",Like A Rolling Stone,"""",aufnehmen,",",das behauptete,Nina Simone,auf einer Aftershowparty.,"Im Jahr 1965 werde ich das Lied ""Like A Rolling Stone"" aufnehmen, das behauptete Nina Simone auf einer Aftershowparty.",fact mismatch,L4,F,J,match,mismatch,critical,AP,Musicians,Nina_Simone.jpg,
32,126,a,126a,Im Jahr,2012,werde ich,in dem,Film,"""",James Bond: Skyfall,"""",mitspielen,",",das verkündete,Daniel Craig,der Öffentlichkeit.,"Im Jahr 2012 werde ich in dem Film ""James Bond: Skyfall"" mitspielen, das verkündete Daniel Craig der Öffentlichkeit.",full match,L4,F,J,match,match,critical,PM,Actors,Daniel_Craig.jpg,
32,128,a,128a,Im Jahr,1962,werde ich,in dem,Film,"""",Lawrence von Arabien,"""",mitspielen,",",das verkündete,Alec Guinness,der Öffentlichkeit.,"Im Jahr 1962 werde ich in dem Film ""Lawrence von Arabien"" mitspielen, das verkündete Alec Guinness der Öffentlichkeit.",full match,L4,F,J,match,match,critical,PM,Actors,Alec_Guinness.jpg,
33,129,d,129d,Im Jahr,2001,werde ich,das,Buch,"""",Jane Eyre,"""",publizieren,",",das meinte,Friedrich Engels,nach einer Lesung.,"Im Jahr 2001 werde ich das Buch ""Jane Eyre"" publizieren, das meinte Friedrich Engels nach einer Lesung.",life-fact mismatch,L4,F,J,mismatch,mismatch,critical,PM,Authors,Friedrich_Engels.jpg,
33,131,d,131d,Im Jahr,1847,werde ich,das,Buch,"""",Die Korrekturen,"""",publizieren,",",das meinte,Yann Martel,nach einer Lesung.,"Im Jahr 1847 werde ich das Buch ""Die Korrekturen"" publizieren, das meinte Yann Martel nach einer Lesung.",life-fact mismatch,L4,F,J,mismatch,mismatch,critical,PM,Authors,Yann_Martel.jpg,
34,133,c,133c,Im Jahr,2000,werde ich,das,Buch,"""",Alice im Wunderland,"""",abschließen,",",das erzählte,Lewis Carroll,auf Nachfrage.,"Im Jahr 2000 werde ich das Buch ""Alice im Wunderland"" abschließen, das erzählte Lewis Carroll auf Nachfrage.",life mismatch,L4,F,J,mismatch,match,critical,PM,Authors,Lewis_Carroll.jpg,
34,135,c,135c,Im Jahr,1865,werde ich,das,Buch,"""",Harry Potter und der Feuerkelch,"""",abschließen,",",das erzählte,J.K. Rowling,auf Nachfrage.,"Im Jahr 1865 werde ich das Buch ""Harry Potter und der Feuerkelch"" abschließen, das erzählte J.K. Rowling auf Nachfrage.",life mismatch,L4,F,J,mismatch,match,critical,PM,Authors,JK_Rowling.jpg,
35,137,b,137b,Im Jahr,1996,werde ich,das,Buch,"""",Game of Thrones,"""",fertigstellen,",",das stellte,David Foster Wallace,in einer Fragerunde fest.,"Im Jahr 1996 werde ich das Buch ""Game of Thrones"" fertigstellen, das stellte David Foster Wallace in einer Fragerunde fest.",fact mismatch,L4,F,J,match,mismatch,critical,PM,Authors,David_Foster_Wallace.jpg,
35,139,b,139b,Im Jahr,1842,werde ich,das,Buch,"""",Tote Seelen,"""",fertigstellen,",",das stellte,Annette von Droste-Hülshoff,in einer Fragerunde fest.,"Im Jahr 1842 werde ich das Buch ""Tote Seelen"" fertigstellen, das stellte Annette von Droste-Hülshoff in einer Fragerunde fest.",fact mismatch,L4,F,J,match,mismatch,critical,PM,Authors,Annette_von_Droste-Hülshoff.jpg,
36,141,a,141a,Im Jahr,2009,werde ich,in dem,Film,"""",Star Trek,"""",zu sehen sein,",",das versicherte,Chris Pine,einem Reporter.,"Im Jahr 2009 werde ich in dem Film ""Star Trek"" zu sehen sein, das versicherte Chris Pine einem Reporter.",full match,L4,F,J,match,match,critical,PM,Actors,Chris_Pine.jpg,
36,143,a,143a,Im Jahr,1980,werde ich,in dem,Film,"""",Blues Brothers,"""",zu sehen sein,",",das versicherte,John Belushi,einem Reporter.,"Im Jahr 1980 werde ich in dem Film ""Blues Brothers"" zu sehen sein, das versicherte John Belushi einem Reporter.",full match,L4,F,J,match,match,critical,PM,Actors,John_Belushi.jpg,
37,146,d,146d,Im Jahr,2018,werde ich,das,Buch,"""",Deutschland. Ein Sommermärchen,"""",publizieren,",",das berichtete,Alexandre Dumas,einer Journalistin.,"Im Jahr 2018 werde ich das Buch ""Deutschland. Ein Sommermärchen"" publizieren, das berichtete Alexandre Dumas einer Journalistin.",life-fact mismatch,L4,F,J,mismatch,mismatch,critical,PM,Authors,Alexandre_Dumas.jpg,
