item,version,letter,sentence,im_jahr,year,future,pp,objnp,qm1,fact,qm2,verb,comma,spillover_verb,name,spillover_pp,full_sentence,condition,list,yes_F,yes_J,life_mismatch,fact_mismatch,type,created,occupation,file_name,PK
15,57,c,57c,Im Jahr,2008,werde ich,das,Buch,"""",Der Große Gatsby,"""",abschließen,",",das stellte,F. Scott Fitzgerald,nach einer Lesung fest.,"Im Jahr 2008 werde ich das Buch ""Der Große Gatsby"" abschließen, das stellte F. Scott Fitzgerald nach einer Lesung fest.",life mismatch,L1,F,J,mismatch,match,critical,PM,Authors,F.Scott_Fitzgerald.jpg,
15,59,c,59c,Im Jahr,1925,werde ich,das,Buch,"""",Becks letzter Sommer,"""",abschließen,",",das stellte,Benedikt Wells,nach einer Lesung fest.,"Im Jahr 1925 werde ich das Buch ""Becks letzter Sommer"" abschließen, das stellte Benedikt Wells nach einer Lesung fest.",life mismatch,L1,F,J,mismatch,match,critical,PM,Authors,Benedikt_Wells.jpg,
16,61,b,61b,Im Jahr,2018,werde ich,in dem,Film,"""",Tschiller - Off Duty,"""",die Hauptrolle spielen,",",das versicherte,Jan-Josef Liefers,der Presse.,"Im Jahr 2018 werde ich in dem Film ""Tschiller - Off Duty"" die Hauptrolle spielen, das versicherte Jan-Josef Liefers der Presse.",fact mismatch,L1,F,J,match,mismatch,critical,PM,Actors,Jan-Josef_Liefers.jpg,
16,63,b,63b,Im Jahr,1941,werde ich,in dem,Film,"""",Citizen Kane,"""",die Hauptrolle spielen,",",das versicherte,Henry Fonda,der Presse.,"Im Jahr 1941 werde ich in dem Film ""Citizen Kane"" die Hauptrolle spielen, das versicherte Henry Fonda der Presse.",fact mismatch,L1,F,J,match,mismatch,critical,PM,Actors,Henry_Fonda.jpg,
17,65,a,65a,Im Jahr,2017,werde ich,die,Nation,"""",Frankreich,"""",regieren,",",das berichtete,Emmanuel Macron,einer Tageszeitung.,"Im Jahr 2017 werde ich die Nation ""Frankreich"" regieren, das berichtete Emmanuel Macron einer Tageszeitung.",full match,L1,F,J,match,match,critical,DP,Policitians,Emmanuel_Macron.jpg,
17,67,a,67a,Im Jahr,1942,werde ich,die,Nation,"""",Großbritannien,"""",regieren,",",das berichtete,Winston Churchill,einer Tageszeitung.,"Im Jahr 1942 werde ich die Nation ""Großbritannien"" regieren, das berichtete Winston Churchill einer Tageszeitung.",full match,L1,F,J,match,match,critical,DP,Policitians,Winston_Churchill.jpg,
18,70,d,70d,Im Jahr,2013,werde ich,das,Lied,"""",Sexual Healing,"""",veröffentlichen,",",das teilte,Falco,den Medien mit.,"Im Jahr 2013 werde ich das Lied ""Sexual Healing"" veröffentlichen, das teilte Falco den Medien mit.",life-fact mismatch,L1,F,J,mismatch,mismatch,critical,PM,Musicians,Falco.jpg,
18,72,d,72d,Im Jahr,1982,werde ich,das,Lied,"""",Wake me up,"""",veröffentlichen,",",das teilte,Lorde,den Medien mit.,"Im Jahr 1982 werde ich das Lied ""Wake me up"" veröffentlichen, das teilte Lorde den Medien mit.",life-fact mismatch,L1,F,J,mismatch,mismatch,critical,PM,Musicians,Lorde.jpg,
19,74,c,74c,Im Jahr,2017,werde ich,das,Land,"""",Kuba,"""",regieren,",",das äußerte,Fidel Castro,auf einer Pressekonferenz.,"Im Jahr 2017 werde ich das Land ""Kuba"" regieren, das äußerte Fidel Castro auf einer Pressekonferenz.",life mismatch,L1,F,J,mismatch,match,critical,AP,Policitians,Fidel_Castro.jpg,
19,76,c,76c,Im Jahr,1960,werde ich,das,Land,"""",Nordkorea,"""",regieren,",",das äußerte,Kim Jong-un,auf einer Pressekonferenz.,"Im Jahr 1960 werde ich das Land ""Nordkorea"" regieren, das äußerte Kim Jong-un auf einer Pressekonferenz.",life mismatch,L1,F,J,mismatch,match,critical,AP,Policitians,Kim_Jong_Un.jpg,
20,78,b,78b,Im Jahr,2008,werde ich,meine,Erfindung,"""",Facebook,"""",vermarkten,",",das schilderte,Elon Musk,einer Tageszeitung.,"Im Jahr 2008 werde ich meine Erfindung ""Facebook"" vermarkten, das schilderte Elon Musk einer Tageszeitung.",fact mismatch,L1,F,J,match,mismatch,critical,AP,Creators,Elon_Musk.jpg,
20,80,b,80b,Im Jahr,1908,werde ich,meine,Erfindung,"""",Ford Model T,"""",vermarkten,",",das schilderte,Thomas Edison,einer Tageszeitung.,"Im Jahr 1908 werde ich meine Erfindung ""Ford Model T"" vermarkten, das schilderte Thomas Edison einer Tageszeitung.",fact mismatch,L1,F,J,match,mismatch,critical,AP,Creators,Thomas_Edison.jpg,
21,82,a,82a,Im Jahr,2016,werde ich,in dem,FIlm,"""",La La Land,"""",auftreten,",",das behauptete,Ryan Gosling,gegenüber einer Journalistin.,"Im Jahr 2016 werde ich in dem FIlm ""La La Land"" auftreten, das behauptete Ryan Gosling gegenüber einer Journalistin.",full match,L1,F,J,match,match,critical,PM,Actors,Ryan_Gosling.jpg,
21,84,a,84a,Im Jahr,1959,werde ich,in dem,Film,"""",Ben Hur,"""",auftreten,",",das behauptete,Charlton Heston,gegenüber einer Journalistin.,"Im Jahr 1959 werde ich in dem Film ""Ben Hur"" auftreten, das behauptete Charlton Heston gegenüber einer Journalistin.",full match,L1,F,J,match,match,critical,PM,Actors,Charlton_Heston.jpg,
22,85,d,85d,Im Jahr,2018,werde ich,in dem,Film,"""",Doktor Schiwago,"""",mitspielen,",",das verkündete,John Wayne,auf dem roten Teppich.,"Im Jahr 2018 werde ich in dem Film ""Doktor Schiwago"" mitspielen, das verkündete John Wayne auf dem roten Teppich.",life-fact mismatch,L1,F,J,mismatch,mismatch,critical,PM,Actors,John_Wayne.jpg,
22,87,d,87d,Im Jahr,1962,werde ich,in dem,Film,"""",A Star is Born,"""",mitspielen,",",das verkündete,Emma Stone,auf dem roten Teppich.,"Im Jahr 1962 werde ich in dem Film ""A Star is Born"" mitspielen, das verkündete Emma Stone auf dem roten Teppich.",life-fact mismatch,L1,F,J,mismatch,mismatch,critical,PM,Actors,Emma_Stone.jpg,
23,89,c,89c,Im Jahr,1999,werde ich,in dem,Film,"""",My Fair Lady,"""",zu sehen sein,",",das meinte,Audrey Hepburn,auf Nachfrage.,"Im Jahr 1999 werde ich in dem Film ""My Fair Lady"" zu sehen sein, das meinte Audrey Hepburn auf Nachfrage.",life mismatch,L1,F,J,mismatch,match,critical,PM,Actors,Audrey_Hepburn.jpg,
23,91,c,91c,Im Jahr,1964,werde ich,in dem,Film,"""",Matrix,"""",zu sehen sein,",",das meinte,Keanu Reeves,auf Nachfrage.,"Im Jahr 1964 werde ich in dem Film ""Matrix"" zu sehen sein, das meinte Keanu Reeves auf Nachfrage.",life mismatch,L1,F,J,mismatch,match,critical,PM,Actors,Keanu_Reeves.jpg,
24,93,b,93b,Im Jahr,2014,werde ich,in dem,Film,"""",Guardians of the Galaxy,"""",die Hauptrolle spielen,",",das erzählte,Benedict Cumberbatch,interessierten Fans.,"Im Jahr 2014 werde ich in dem Film ""Guardians of the Galaxy"" die Hauptrolle spielen, das erzählte Benedict Cumberbatch interessierten Fans.",fact mismatch,L1,F,J,match,mismatch,critical,PM,Actors,Benedict_Cumberbatch.jpg,
24,95,b,95b,Im Jahr,1972,werde ich,in dem,FIlm,"""",Todesgrüße aus Shanghai,"""",die Hauptrolle spielen,",",das erzählte,Klaus Kinski,interessierten Fans.,"Im Jahr 1972 werde ich in dem FIlm ""Todesgrüße aus Shanghai"" die Hauptrolle spielen, das erzählte Klaus Kinski interessierten Fans.",fact mismatch,L1,F,J,match,mismatch,critical,PM,Actors,Klaus_Kinski.jpg,
25,97,a,97a,Im Jahr,2014,werde ich,das,Lied,"""",Uptown Funk,"""",herausbringen,",",das stellte,Bruno Mars,bei einer Pressekonferenz fest.,"Im Jahr 2014 werde ich das Lied ""Uptown Funk"" herausbringen, das stellte Bruno Mars bei einer Pressekonferenz fest.",full match,L1,F,J,match,match,critical,AP,Musicians,Bruno_Mars.jpg,
25,99,a,99a,Im Jahr,1975,werde ich,das,Lied,"""",I Shot The Sheriff,"""",herausbringen,",",das stellte,Bob Marley,bei einer Pressekonferenz fest.,"Im Jahr 1975 werde ich das Lied ""I Shot The Sheriff"" herausbringen, das stellte Bob Marley bei einer Pressekonferenz fest.",full match,L1,F,J,match,match,critical,AP,Musicians,Bob_Marley.jpeg,
26,102,d,102d,Im Jahr,1990,werde ich,in dem,Film,"""",Über den Dächern von Nizza,"""",auftreten,",",das versicherte,Spencer Tracy,den Medien.,"Im Jahr 1990 werde ich in dem Film ""Über den Dächern von Nizza"" auftreten, das versicherte Spencer Tracy den Medien.",life-fact mismatch,L1,F,J,mismatch,mismatch,critical,PM,Actors,Spencer_Tracy.jpg,
26,104,d,104d,Im Jahr,1955,werde ich,in dem,Film,"""",Der mit dem Wolf tanzt,"""",auftreten,",",das versicherte,Macaulay Culkin,den Medien.,"Im Jahr 1955 werde ich in dem Film ""Der mit dem Wolf tanzt"" auftreten, das versicherte Macaulay Culkin den Medien.",life-fact mismatch,L1,F,J,mismatch,mismatch,critical,PM,Actors,Macaulay_Culkin.jpg,
27,106,c,106c,Im Jahr,2017,werde ich,das,Lied,"""",Cream,"""",aufnehmen,",",das berichtete,Prince,auf einer Aftershowparty.,"Im Jahr 2017 werde ich das Lied ""Cream"" aufnehmen, das berichtete Prince auf einer Aftershowparty.",life mismatch,L1,F,J,mismatch,match,critical,PM,Musicians,Prince.jpg,
27,108,c,108c,Im Jahr,1991,werde ich,das,Lied,"""",Shape of You,"""",aufnehmen,",",das berichtete,Ed Sheeran,auf einer Aftershowparty.,"Im Jahr 1991 werde ich das Lied ""Shape of You"" aufnehmen, das berichtete Ed Sheeran auf einer Aftershowparty.",life mismatch,L1,F,J,mismatch,match,critical,PM,Musicians,Ed_Sheeran.jpg,
28,110,b,110b,Im Jahr,2016,werde ich,das,Buch,"""",Totenfang,"""",fertigstellen,",",das teilte,Benjamin von Stuckrad-Barre,der Presse mit.,"Im Jahr 2016 werde ich das Buch ""Totenfang"" fertigstellen, das teilte Benjamin von Stuckrad-Barre der Presse mit.",fact mismatch,L1,F,J,match,mismatch,critical,PM,Authors,Benjamin_von_Stuckrad-Barre.jpg,
28,112,b,112b,Im Jahr,1837,werde ich,das,Buch,"""",Woyzeck,"""",fertigstellen,",",das teilte,Charles Dickens,der Presse mit.,"Im Jahr 1837 werde ich das Buch ""Woyzeck"" fertigstellen, das teilte Charles Dickens der Presse mit.",fact mismatch,L1,F,J,match,mismatch,critical,PM,Authors,Charles_Dickens.jpg,
29,114,a,114a,Im Jahr,2013,werde ich,das,Lied,"""",Gangnam Style,"""",veröffentlichen,",",das äußerte,Psy,gegenüber interessierten Fans.,"Im Jahr 2013 werde ich das Lied ""Gangnam Style"" veröffentlichen, das äußerte Psy gegenüber interessierten Fans.",full match,L1,F,J,match,match,critical,AP,Musicians,Psy.jpg,
29,116,a,116a,Im Jahr,1967,werde ich,das,Lied,"""",What a Wonderful World,"""",veröffentlichen,",",das äußerte,Louis Armstrong,gegenüber interessierten Fans.,"Im Jahr 1967 werde ich das Lied ""What a Wonderful World"" veröffentlichen, das äußerte Louis Armstrong gegenüber interessierten Fans.",full match,L1,F,J,match,match,critical,AP,Musicians,Louis_Armstrong.jpg,
30,117,d,117d,Im Jahr,2011,werde ich,das,Lied,"""",Stormy Blues,"""",herausbringen,",",das schilderte,Elvis Presley,in einem Interview.,"Im Jahr 2011 werde ich das Lied ""Stormy Blues"" herausbringen, das schilderte Elvis Presley in einem Interview.",life-fact mismatch,L1,F,J,mismatch,mismatch,critical,AP,Musicians,Elvis_Presley.jpg,
30,119,d,119d,Im Jahr,1956,werde ich,das,Lied,"""",Call Me Maybe,"""",herausbringen,",",das schilderte,Lady Gaga,in einem Interview.,"Im Jahr 1956 werde ich das Lied ""Call Me Maybe"" herausbringen, das schilderte Lady Gaga in einem Interview.",life-fact mismatch,L1,F,J,mismatch,mismatch,critical,AP,Musicians,Lady_Gaga.jpg,
31,121,c,121c,Im Jahr,2010,werde ich,das,Lied,"""",I Put a Spell on You,"""",aufnehmen,",",das behauptete,Nina Simone,auf einer Aftershowparty.,"Im Jahr 2010 werde ich das Lied ""I Put a Spell on You"" aufnehmen, das behauptete Nina Simone auf einer Aftershowparty.",life mismatch,L1,F,J,mismatch,match,critical,AP,Musicians,Nina_Simone.jpg,
31,123,c,123c,Im Jahr,1965,werde ich,das,Lied,"""",Love the Way You Lie,"""",aufnehmen,",",das behauptete,Rihanna,auf einer Aftershowparty.,"Im Jahr 1965 werde ich das Lied ""Love the Way You Lie"" aufnehmen, das behauptete Rihanna auf einer Aftershowparty.",life mismatch,L1,F,J,mismatch,match,critical,AP,Musicians,Rihanna.jpg,
32,125,b,125b,Im Jahr,2012,werde ich,in dem,Film,"""",Django Unchained,"""",mitspielen,",",das verkündete,Daniel Craig,der Öffentlichkeit.,"Im Jahr 2012 werde ich in dem Film ""Django Unchained"" mitspielen, das verkündete Daniel Craig der Öffentlichkeit.",fact mismatch,L1,F,J,match,mismatch,critical,PM,Actors,Daniel_Craig.jpg,
32,127,b,127b,Im Jahr,1962,werde ich,in dem,Film,"""",Meuterei auf der Bounty,"""",mitspielen,",",das verkündete,Alec Guinness,der Öffentlichkeit.,"Im Jahr 1962 werde ich in dem Film ""Meuterei auf der Bounty"" mitspielen, das verkündete Alec Guinness der Öffentlichkeit.",fact mismatch,L1,F,J,match,mismatch,critical,PM,Actors,Alec_Guinness.jpg,
33,129,a,129a,Im Jahr,2001,werde ich,das,Buch,"""",Die Korrekturen,"""",publizieren,",",das meinte,Jonathan Franzen,nach einer Lesung.,"Im Jahr 2001 werde ich das Buch ""Die Korrekturen"" publizieren, das meinte Jonathan Franzen nach einer Lesung.",full match,L1,F,J,match,match,critical,PM,Authors,Jonathan_Franzen.jpg,
33,131,a,131a,Im Jahr,1847,werde ich,das,Buch,"""",Jane Eyre,"""",publizieren,",",das meinte,Charlotte Brontë,nach einer Lesung.,"Im Jahr 1847 werde ich das Buch ""Jane Eyre"" publizieren, das meinte Charlotte Brontë nach einer Lesung.",full match,L1,F,J,match,match,critical,PM,Authors,Charlotte_Bronte_Drawing.jpg,
34,134,d,134d,Im Jahr,2000,werde ich,das,Buch,"""",Max und Moritz,"""",abschließen,",",das erzählte,Lewis Carroll,auf Nachfrage.,"Im Jahr 2000 werde ich das Buch ""Max und Moritz"" abschließen, das erzählte Lewis Carroll auf Nachfrage.",life-fact mismatch,L1,F,J,mismatch,mismatch,critical,PM,Authors,Lewis_Carroll.jpg,
34,136,d,136d,Im Jahr,1865,werde ich,das,Buch,"""",Illuminati,"""",abschließen,",",das erzählte,J.K. Rowling,auf Nachfrage.,"Im Jahr 1865 werde ich das Buch ""Illuminati"" abschließen, das erzählte J.K. Rowling auf Nachfrage.",life-fact mismatch,L1,F,J,mismatch,mismatch,critical,PM,Authors,JK_Rowling.jpg,
35,138,c,138c,Im Jahr,1996,werde ich,das,Buch,"""",Die Judenbuche,"""",fertigstellen,",",das stellte,Annette von Droste-Hülshoff,in einer Fragerunde fest.,"Im Jahr 1996 werde ich das Buch ""Die Judenbuche"" fertigstellen, das stellte Annette von Droste-Hülshoff in einer Fragerunde fest.",life mismatch,L1,F,J,mismatch,match,critical,PM,Authors,Annette_von_Droste-Hülshoff.jpg,
35,140,c,140c,Im Jahr,1842,werde ich,das,Buch,"""",Infinite Jest,"""",fertigstellen,",",das stellte,David Foster Wallace,in einer Fragerunde fest.,"Im Jahr 1842 werde ich das Buch ""Infinite Jest"" fertigstellen, das stellte David Foster Wallace in einer Fragerunde fest.",life mismatch,L1,F,J,mismatch,match,critical,PM,Authors,David_Foster_Wallace.jpg,
36,142,b,142b,Im Jahr,2009,werde ich,in dem,Film,"""",Twilight: New Moon,"""",zu sehen sein,",",das versicherte,Chris Pine,einem Reporter.,"Im Jahr 2009 werde ich in dem Film ""Twilight: New Moon"" zu sehen sein, das versicherte Chris Pine einem Reporter.",fact mismatch,L1,F,J,match,mismatch,critical,PM,Actors,Chris_Pine.jpg,
36,144,b,144b,Im Jahr,1980,werde ich,in dem,Film,"""",Superman 2,"""",zu sehen sein,",",das versicherte,John Belushi,einem Reporter.,"Im Jahr 1980 werde ich in dem Film ""Superman 2"" zu sehen sein, das versicherte John Belushi einem Reporter.",fact mismatch,L1,F,J,match,mismatch,critical,PM,Actors,John_Belushi.jpg,
37,146,a,146a,Im Jahr,2018,werde ich,das,Buch,"""",Aufklärung jetzt!,"""",publizieren,",",das berichtete,Steven Pinker,einer Journalistin.,"Im Jahr 2018 werde ich das Buch ""Aufklärung jetzt!"" publizieren, das berichtete Steven Pinker einer Journalistin.",full match,L1,F,J,match,match,critical,PM,Authors,Steven_Pinker,
37,148,a,148a,Im Jahr,1844,werde ich,das,Buch,"""",Deutschland. Ein Sommermärchen,"""",publizieren,",",das berichtete,Heinrich Heine,einer Journalistin.,"Im Jahr 1844 werde ich das Buch ""Deutschland. Ein Sommermärchen"" publizieren, das berichtete Heinrich Heine einer Journalistin.",full match,L1,F,J,match,match,critical,PM,Authors,Heinrich_Heine.jpg,
