item,version,letter,sentence,im_jahr,year,future,pp,objnp,qm1,fact,qm2,verb,comma,spillover_verb,name,spillover_pp,full_sentence,condition,list,yes_F,yes_J,life_mismatch,fact_mismatch,type,created,occupation,file_name,PK
14,56,a,56a,Im Jahr,1931,werde ich,in dem,Film,"""",Frankenstein,"""",zu sehen sein,",",das erzählte,Boris Karloff,einer Nachrichtenagentur.,"Im Jahr 1931 werde ich in dem Film ""Frankenstein"" zu sehen sein, das erzählte Boris Karloff einer Nachrichtenagentur.",full match,L2,F,J,match,match,critical,PM,Actors,Boris_Karloff.jpg,
15,57,d,57d,Im Jahr,2008,werde ich,das,Buch,"""",Der Große Gatsby,"""",abschließen,",",das stellte,Franz Kafka,nach einer Lesung fest.,"Im Jahr 2008 werde ich das Buch ""Der Große Gatsby"" abschließen, das stellte Franz Kafka nach einer Lesung fest.",life-fact mismatch,L2,F,J,mismatch,mismatch,critical,PM,Authors,Franz_Kafka.jpg,
15,59,d,59d,Im Jahr,1925,werde ich,das,Buch,"""",Becks letzter Sommer,"""",abschließen,",",das stellte,Charlotte Roche,nach einer Lesung fest.,"Im Jahr 1925 werde ich das Buch ""Becks letzter Sommer"" abschließen, das stellte Charlotte Roche nach einer Lesung fest.",life-fact mismatch,L2,F,J,mismatch,mismatch,critical,PM,Authors,Charlotte_Roche.jpg,
16,61,c,61c,Im Jahr,2018,werde ich,in dem,Film,"""",Citizen Kane,"""",die Hauptrolle spielen,",",das versicherte,Orson Welles,der Presse.,"Im Jahr 2018 werde ich in dem Film ""Citizen Kane"" die Hauptrolle spielen, das versicherte Orson Welles der Presse.",life mismatch,L2,F,J,mismatch,match,critical,PM,Actors,Orson_Welles.jpg,
16,63,c,63c,Im Jahr,1941,werde ich,in dem,Film,"""",Tschiller - Off Duty,"""",die Hauptrolle spielen,",",das versicherte,Til Schweiger,der Presse.,"Im Jahr 1941 werde ich in dem Film ""Tschiller - Off Duty"" die Hauptrolle spielen, das versicherte Til Schweiger der Presse.",life mismatch,L2,F,J,mismatch,match,critical,PM,Actors,Til_Schweiger.jpg,
17,65,b,65b,Im Jahr,2017,werde ich,die,Nation,"""",Frankreich,"""",regieren,",",das berichtete,Wladimir Putin,einer Tageszeitung.,"Im Jahr 2017 werde ich die Nation ""Frankreich"" regieren, das berichtete Wladimir Putin einer Tageszeitung.",fact mismatch,L2,F,J,match,mismatch,critical,DP,Policitians,Wladimir_Putin.jpg,
17,67,b,67b,Im Jahr,1942,werde ich,die,Nation,"""",Großbritannien,"""",regieren,",",das berichtete,Franklin D. Roosevelt,einer Tageszeitung.,"Im Jahr 1942 werde ich die Nation ""Großbritannien"" regieren, das berichtete Franklin D. Roosevelt einer Tageszeitung.",fact mismatch,L2,F,J,match,mismatch,critical,DP,Policitians,Franklin_D._Roosevelt.jpg,
18,69,a,69a,Im Jahr,2013,werde ich,das,Lied,"""",Royals,"""",veröffentlichen,",",das teilte,Lorde,den Medien mit.,"Im Jahr 2013 werde ich das Lied ""Royals"" veröffentlichen, das teilte Lorde den Medien mit.",full match,L2,F,J,match,match,critical,PM,Musicians,Lorde.jpg,
18,71,a,71a,Im Jahr,1982,werde ich,das,Lied,"""",Der Kommissar,"""",veröffentlichen,",",das teilte,Falco,den Medien mit.,"Im Jahr 1982 werde ich das Lied ""Der Kommissar"" veröffentlichen, das teilte Falco den Medien mit.",full match,L2,F,J,match,match,critical,PM,Musicians,Falco.jpg,
19,74,d,74d,Im Jahr,2017,werde ich,das,Land,"""",Kuba,"""",regieren,",",das äußerte,Mao Zedong,auf einer Pressekonferenz.,"Im Jahr 2017 werde ich das Land ""Kuba"" regieren, das äußerte Mao Zedong auf einer Pressekonferenz.",life-fact mismatch,L2,F,J,mismatch,mismatch,critical,AP,Policitians,Mao_Zedong.jpg,
19,76,d,76d,Im Jahr,1960,werde ich,das,Land,"""",Nordkorea,"""",regieren,",",das äußerte,Justin Trudeau,auf einer Pressekonferenz.,"Im Jahr 1960 werde ich das Land ""Nordkorea"" regieren, das äußerte Justin Trudeau auf einer Pressekonferenz.",life-fact mismatch,L2,F,J,mismatch,mismatch,critical,AP,Policitians,Justin_Trudeau.jpg,
20,78,c,78c,Im Jahr,2008,werde ich,meine,Erfindung,"""",Ford Model T,"""",vermarkten,",",das schilderte,Henry Ford,einer Tageszeitung.,"Im Jahr 2008 werde ich meine Erfindung ""Ford Model T"" vermarkten, das schilderte Henry Ford einer Tageszeitung.",life mismatch,L2,F,J,mismatch,match,critical,AP,Creators,Henry_Ford.jpg,
20,80,c,80c,Im Jahr,1908,werde ich,meine,Erfindung,"""",Facebook,"""",vermarkten,",",das schilderte,Mark Zuckerberg,einer Tageszeitung.,"Im Jahr 1908 werde ich meine Erfindung ""Facebook"" vermarkten, das schilderte Mark Zuckerberg einer Tageszeitung.",life mismatch,L2,F,J,mismatch,match,critical,AP,Creators,Mark_Zuckerberg.jpg,
21,82,b,82b,Im Jahr,2016,werde ich,in dem,FIlm,"""",La La Land,"""",auftreten,",",das behauptete,Margot Robbie,gegenüber einer Journalistin.,"Im Jahr 2016 werde ich in dem FIlm ""La La Land"" auftreten, das behauptete Margot Robbie gegenüber einer Journalistin.",fact mismatch,L2,F,J,match,mismatch,critical,PM,Actors,Margot_Robbie.jpg,
21,84,b,84b,Im Jahr,1959,werde ich,in dem,Film,"""",Ben Hur,"""",auftreten,",",das behauptete,Cary Grant,gegenüber einer Journalistin.,"Im Jahr 1959 werde ich in dem Film ""Ben Hur"" auftreten, das behauptete Cary Grant gegenüber einer Journalistin.",fact mismatch,L2,F,J,match,mismatch,critical,PM,Actors,Cary_Grant.jpg,
22,86,a,86a,Im Jahr,2018,werde ich,in dem,Film,"""",The Favourite,"""",mitspielen,",",das verkündete,Emma Stone,auf dem roten Teppich.,"Im Jahr 2018 werde ich in dem Film ""The Favourite"" mitspielen, das verkündete Emma Stone auf dem roten Teppich.",full match,L2,F,J,match,match,critical,PM,Actors,Emma_Stone.jpg,
22,88,a,88a,Im Jahr,1962,werde ich,in dem,Film,"""",Der längste Tag,"""",mitspielen,",",das verkündete,John Wayne,auf dem roten Teppich.,"Im Jahr 1962 werde ich in dem Film ""Der längste Tag"" mitspielen, das verkündete John Wayne auf dem roten Teppich.",full match,L2,F,J,match,match,critical,PM,Actors,John_Wayne.jpg,
23,89,d,89d,Im Jahr,1999,werde ich,in dem,Film,"""",My Fair Lady,"""",zu sehen sein,",",das meinte,Louis de Funès,auf Nachfrage.,"Im Jahr 1999 werde ich in dem Film ""My Fair Lady"" zu sehen sein, das meinte Louis de Funès auf Nachfrage.",life-fact mismatch,L2,F,J,mismatch,mismatch,critical,PM,Actors,Louis_de_Funes.jpg,
23,91,d,91d,Im Jahr,1964,werde ich,in dem,Film,"""",Matrix,"""",zu sehen sein,",",das meinte,Matt Damon,auf Nachfrage.,"Im Jahr 1964 werde ich in dem Film ""Matrix"" zu sehen sein, das meinte Matt Damon auf Nachfrage.",life-fact mismatch,L2,F,J,mismatch,mismatch,critical,PM,Actors,Matt_Damon.jpg,
24,93,c,93c,Im Jahr,2014,werde ich,in dem,Film,"""",Todesgrüße aus Shanghai,"""",die Hauptrolle spielen,",",das erzählte,Bruce Lee,interessierten Fans.,"Im Jahr 2014 werde ich in dem Film ""Todesgrüße aus Shanghai"" die Hauptrolle spielen, das erzählte Bruce Lee interessierten Fans.",life mismatch,L2,F,J,mismatch,match,critical,PM,Actors,Bruce_Lee.jpg,
24,95,c,95c,Im Jahr,1972,werde ich,in dem,FIlm,"""",Guardians of the Galaxy,"""",die Hauptrolle spielen,",",das erzählte,Chris Pratt,interessierten Fans.,"Im Jahr 1972 werde ich in dem FIlm ""Guardians of the Galaxy"" die Hauptrolle spielen, das erzählte Chris Pratt interessierten Fans.",life mismatch,L2,F,J,mismatch,match,critical,PM,Actors,Chris_Pratt.jpg,
25,97,b,97b,Im Jahr,2014,werde ich,das,Lied,"""",Uptown Funk,"""",herausbringen,",",das stellte,Adele,bei einer Pressekonferenz fest.,"Im Jahr 2014 werde ich das Lied ""Uptown Funk"" herausbringen, das stellte Adele bei einer Pressekonferenz fest.",fact mismatch,L2,F,J,match,mismatch,critical,AP,Musicians,Adele.jpg,
25,99,b,99b,Im Jahr,1975,werde ich,das,Lied,"""",I Shot The Sheriff,"""",herausbringen,",",das stellte,John Lennon,bei einer Pressekonferenz fest.,"Im Jahr 1975 werde ich das Lied ""I Shot The Sheriff"" herausbringen, das stellte John Lennon bei einer Pressekonferenz fest.",fact mismatch,L2,F,J,match,mismatch,critical,AP,Musicians,John_Lennon.jpg,
26,101,a,101a,Im Jahr,1990,werde ich,in dem,Film,"""",Kevin - Allein zu Haus,"""",auftreten,",",das versicherte,Macaulay Culkin,den Medien.,"Im Jahr 1990 werde ich in dem Film ""Kevin - Allein zu Haus"" auftreten, das versicherte Macaulay Culkin den Medien.",full match,L2,F,J,match,match,critical,PM,Actors,Macaulay_Culkin.jpg,
26,103,a,103a,Im Jahr,1955,werde ich,in dem,Film,"""",Stadt in Angst,"""",auftreten,",",das versicherte,Spencer Tracy,den Medien.,"Im Jahr 1955 werde ich in dem Film ""Stadt in Angst"" auftreten, das versicherte Spencer Tracy den Medien.",full match,L2,F,J,match,match,critical,PM,Actors,Spencer_Tracy.jpg,
27,106,d,106d,Im Jahr,2017,werde ich,das,Lied,"""",Cream,"""",aufnehmen,",",das berichtete,Freddie Mercury,auf einer Aftershowparty.,"Im Jahr 2017 werde ich das Lied ""Cream"" aufnehmen, das berichtete Freddie Mercury auf einer Aftershowparty.",life-fact mismatch,L2,F,J,mismatch,mismatch,critical,PM,Musicians,Freddie_Mercury.jpg,
27,108,d,108d,Im Jahr,1991,werde ich,das,Lied,"""",Shape of You,"""",aufnehmen,",",das berichtete,Harry Styles,auf einer Aftershowparty.,"Im Jahr 1991 werde ich das Lied ""Shape of You"" aufnehmen, das berichtete Harry Styles auf einer Aftershowparty.",life-fact mismatch,L2,F,J,mismatch,mismatch,critical,PM,Musicians,Harry_Styles.jpg,
28,110,c,110c,Im Jahr,2016,werde ich,das,Buch,"""",Woyzeck,"""",fertigstellen,",",das teilte,Georg Büchner,der Presse mit.,"Im Jahr 2016 werde ich das Buch ""Woyzeck"" fertigstellen, das teilte Georg Büchner der Presse mit.",life mismatch,L2,F,J,mismatch,match,critical,PM,Authors,Georg_Büchner.jpg,
28,112,c,112c,Im Jahr,1837,werde ich,das,Buch,"""",Totenfang,"""",fertigstellen,",",das teilte,Simon Beckett,der Presse mit.,"Im Jahr 1837 werde ich das Buch ""Totenfang"" fertigstellen, das teilte Simon Beckett der Presse mit.",life mismatch,L2,F,J,mismatch,match,critical,PM,Authors,Simon_Beckett.jpg,
29,114,b,114b,Im Jahr,2013,werde ich,das,Lied,"""",Gangnam Style,"""",veröffentlichen,",",das äußerte,Helene Fischer,gegenüber interessierten Fans.,"Im Jahr 2013 werde ich das Lied ""Gangnam Style"" veröffentlichen, das äußerte Helene Fischer gegenüber interessierten Fans.",fact mismatch,L2,F,J,match,mismatch,critical,AP,Musicians,Helene_Fischer.jpg,
29,116,b,116b,Im Jahr,1967,werde ich,das,Lied,"""",What a Wonderful World,"""",veröffentlichen,",",das äußerte,Marlene Dietrich,gegenüber interessierten Fans.,"Im Jahr 1967 werde ich das Lied ""What a Wonderful World"" veröffentlichen, das äußerte Marlene Dietrich gegenüber interessierten Fans.",fact mismatch,L2,F,J,match,mismatch,critical,AP,Musicians,Marlene_Dietrich.jpg,
30,118,a,118a,Im Jahr,2011,werde ich,das,Lied,"""",Bloody Mary,"""",herausbringen,",",das schilderte,Lady Gaga,in einem Interview.,"Im Jahr 2011 werde ich das Lied ""Bloody Mary"" herausbringen, das schilderte Lady Gaga in einem Interview.",full match,L2,F,J,match,match,critical,AP,Musicians,Lady_Gaga.jpg,
30,120,a,120a,Im Jahr,1954,werde ich,das,Lied,"""",Love Me Tender,"""",herausbringen,",",das schilderte,Elvis Presley,in einem Interview.,"Im Jahr 1954 werde ich das Lied ""Love Me Tender"" herausbringen, das schilderte Elvis Presley in einem Interview.",full match,L2,F,J,match,match,critical,AP,Musicians,Elvis_Presley.jpg,
31,121,d,121d,Im Jahr,2010,werde ich,das,Lied,"""",I Put a Spell on You,"""",aufnehmen,",",das behauptete,Bob Dylan,auf einer Aftershowparty.,"Im Jahr 2010 werde ich das Lied ""I Put a Spell on You"" aufnehmen, das behauptete Bob Dylan auf einer Aftershowparty.",life-fact mismatch,L2,F,J,mismatch,mismatch,critical,AP,Musicians,Bob_Dylan.jpg,
31,123,d,123d,Im Jahr,1965,werde ich,das,Lied,"""",Love the Way You Lie,"""",aufnehmen,",",das behauptete,Shakira,auf einer Aftershowparty.,"Im Jahr 1965 werde ich das Lied ""Love the Way You Lie"" aufnehmen, das behauptete Shakira auf einer Aftershowparty.",life-fact mismatch,L2,F,J,mismatch,mismatch,critical,AP,Musicians,Shakira.jpg,
32,125,c,125c,Im Jahr,2012,werde ich,in dem,Film,"""",Meuterei auf der Bounty,"""",mitspielen,",",das verkündete,Marlon Brando,der Öffentlichkeit.,"Im Jahr 2012 werde ich in dem Film ""Meuterei auf der Bounty"" mitspielen, das verkündete Marlon Brando der Öffentlichkeit.",life mismatch,L2,F,J,mismatch,match,critical,PM,Actors,Marlon_Brando.jpg,
32,127,c,127c,Im Jahr,1962,werde ich,in dem,Film,"""",Django Unchained,"""",mitspielen,",",das verkündete,Jamie Foxx,der Öffentlichkeit.,"Im Jahr 1962 werde ich in dem Film ""Django Unchained"" mitspielen, das verkündete Jamie Foxx der Öffentlichkeit.",life mismatch,L2,F,J,mismatch,match,critical,PM,Actors,Jamie_Foxx.jpg,
33,129,b,129b,Im Jahr,2001,werde ich,das,Buch,"""",Die Korrekturen,"""",publizieren,",",das meinte,Yann Martel,nach einer Lesung.,"Im Jahr 2001 werde ich das Buch ""Die Korrekturen"" publizieren, das meinte Yann Martel nach einer Lesung.",fact mismatch,L2,F,J,match,mismatch,critical,PM,Authors,Yann_Martel.jpg,
33,131,b,131b,Im Jahr,1847,werde ich,das,Buch,"""",Jane Eyre,"""",publizieren,",",das meinte,Friedrich Engels,nach einer Lesung.,"Im Jahr 1847 werde ich das Buch ""Jane Eyre"" publizieren, das meinte Friedrich Engels nach einer Lesung.",fact mismatch,L2,F,J,match,mismatch,critical,PM,Authors,Friedrich_Engels.jpg,
34,133,a,133a,Im Jahr,2000,werde ich,das,Buch,"""",Harry Potter und der Feuerkelch,"""",abschließen,",",das erzählte,J.K. Rowling,auf Nachfrage.,"Im Jahr 2000 werde ich das Buch ""Harry Potter und der Feuerkelch"" abschließen, das erzählte J.K. Rowling auf Nachfrage.",full match,L2,F,J,match,match,critical,PM,Authors,JK_Rowling.jpg,
34,135,a,135a,Im Jahr,1865,werde ich,das,Buch,"""",Alice im Wunderland,"""",abschließen,",",das erzählte,Lewis Carroll,auf Nachfrage.,"Im Jahr 1865 werde ich das Buch ""Alice im Wunderland"" abschließen, das erzählte Lewis Carroll auf Nachfrage.",full match,L2,F,J,match,match,critical,PM,Authors,Lewis_Carroll.jpg,
35,138,d,138d,Im Jahr,1996,werde ich,das,Buch,"""",Die Judenbuche,"""",fertigstellen,",",das stellte,Nikolai Gogol,in einer Fragerunde fest.,"Im Jahr 1996 werde ich das Buch ""Die Judenbuche"" fertigstellen, das stellte Nikolai Gogol in einer Fragerunde fest.",life-fact mismatch,L2,F,J,mismatch,mismatch,critical,PM,Authors,Nikolai_Gogol.jpg,
35,140,d,140d,Im Jahr,1842,werde ich,das,Buch,"""",Infinite Jest,"""",fertigstellen,",",das stellte,George R.R. Martin,in einer Fragerunde fest.,"Im Jahr 1842 werde ich das Buch ""Infinite Jest"" fertigstellen, das stellte George R.R. Martin in einer Fragerunde fest.",life-fact mismatch,L2,F,J,mismatch,mismatch,critical,PM,Authors,George_RR_Martin.jpg,
36,142,c,142c,Im Jahr,2009,werde ich,in dem,Film,"""",Superman 2,"""",zu sehen sein,",",das versicherte,Christopher Reeve,einem Reporter.,"Im Jahr 2009 werde ich in dem Film ""Superman 2"" zu sehen sein, das versicherte Christopher Reeve einem Reporter.",life mismatch,L2,F,J,mismatch,match,critical,PM,Actors,Christopher_Reeve.jpg,
36,144,c,144c,Im Jahr,1980,werde ich,in dem,Film,"""",Twilight: New Moon,"""",zu sehen sein,",",das versicherte,Taylor Lautner,einem Reporter.,"Im Jahr 1980 werde ich in dem Film ""Twilight: New Moon"" zu sehen sein, das versicherte Taylor Lautner einem Reporter.",life mismatch,L2,F,J,mismatch,match,critical,PM,Actors,Taylor_Lautner.jpg,
37,146,b,146b,Im Jahr,2018,werde ich,das,Buch,"""",Aufklärung jetzt!,"""",publizieren,",",das berichtete,Jordan Peterson,einer Journalistin.,"Im Jahr 2018 werde ich das Buch ""Aufklärung jetzt!"" publizieren, das berichtete Jordan Peterson einer Journalistin.",fact mismatch,L2,F,J,match,mismatch,critical,PM,Authors,Jordan_Peterson.jpg,
37,148,b,148b,Im Jahr,1844,werde ich,das,Buch,"""",Deutschland. Ein Sommermärchen,"""",publizieren,",",das berichtete,Alexandre Dumas,einer Journalistin.,"Im Jahr 1844 werde ich das Buch ""Deutschland. Ein Sommermärchen"" publizieren, das berichtete Alexandre Dumas einer Journalistin.",fact mismatch,L2,F,J,match,mismatch,critical,PM,Authors,Alexandre_Dumas.jpg,
