item,version,letter,sentence,im_jahr,year,future,pp,objnp,qm1,fact,qm2,verb,comma,spillover-verb,name,spillover-pp,full_sentence,condition,list,yes_F,yes_J,life_mismatch,fact_mismatch,type,created,occupation,file_name,PK
11,44,a,44a,Im Jahr,1960,werde ich,in dem,Film,"""",Das süße Leben,"""",die Hauptrolle spielen,",",das behauptete,Marcello Mastroianni,auf dem roten Teppich.,"Im Jahr 1960 werde ich in dem Film ""Das süße Leben"" die Hauptrolle spielen, das behauptete Marcello Mastroianni auf dem roten Teppich.",full match,L7,F,J,match,match,critical,AP,Actors,Marcello_Mastroianni.jpg,
12,45,d,45d,Im Jahr,2020,werde ich,mein,Engagement für die,"""",Bürgerrechtsbewegung,"""",vorantreiben,",",das verkündete,Nelson Mandela,auf einer Pressekonferenz.,"Im Jahr 2020 werde ich mein Engagement für die ""Bürgerrechtsbewegung"" vorantreiben, das verkündete Nelson Mandela auf einer Pressekonferenz.",life-fact mismatch,L7,F,J,mismatch,mismatch,critical,PM,Activist,Nelson_Mandela.jpg,
12,47,d,47d,Im Jahr,1955,werde ich,mein,Engagement für die,"""",Erreichung der Klimaziele,"""",vorantreiben,",",das verkündete,Malala Yousafzai,auf einer Pressekonferenz.,"Im Jahr 1955 werde ich mein Engagement für die ""Erreichung der Klimaziele"" vorantreiben, das verkündete Malala Yousafzai auf einer Pressekonferenz.",life-fact mismatch,L7,F,J,mismatch,mismatch,critical,PM,Activist,Malala_Yousafzai.jpg,
13,49,c,49c,Im Jahr,2007,werde ich,den,Film,"""",Panzerkreuzer Potemkin,"""",inszenieren,",",das meinte,Sergei Eisenstein,in einer Fragerunde.,"Im Jahr 2007 werde ich den Film ""Panzerkreuzer Potemkin"" inszenieren, das meinte Sergei Eisenstein in einer Fragerunde.",life mismatch,L7,F,J,mismatch,match,critical,PM,Directors,Sergei_Eisenstein.jpg,
13,51,c,51c,Im Jahr,1925,werde ich,den,Film,"""",Transformers,"""",inszenieren,",",das meinte,Michael Bay,in einer Fragerunde.,"Im Jahr 1925 werde ich den Film ""Transformers"" inszenieren, das meinte Michael Bay in einer Fragerunde.",life mismatch,L7,F,J,mismatch,match,critical,PM,Directors,Michael_Bay.jpg,
14,53,b,53b,Im Jahr,1991,werde ich,in dem,Film,"""",Das Schweigen der Lämmer,"""",zu sehen sein,",",das erzählte,Robert Englund,einer Nachrichtenagentur.,"Im Jahr 1991 werde ich in dem Film ""Das Schweigen der Lämmer"" zu sehen sein, das erzählte Robert Englund einer Nachrichtenagentur.",fact mismatch,L7,F,J,match,mismatch,critical,PM,Actors,Robert_Englund.jpg,
14,55,b,55b,Im Jahr,1931,werde ich,in dem,Film,"""",Dracula,"""",zu sehen sein,",",das erzählte,Boris Karloff,einer Nachrichtenagentur.,"Im Jahr 1931 werde ich in dem Film ""Dracula"" zu sehen sein, das erzählte Boris Karloff einer Nachrichtenagentur.",fact mismatch,L7,F,J,match,mismatch,critical,PM,Actors,Boris_Karloff.jpg,
15,57,a,57a,Im Jahr,2008,werde ich,das,Buch,"""",Becks letzter Sommer,"""",abschließen,",",das stellte,Benedikt Wells,nach einer Lesung fest.,"Im Jahr 2008 werde ich das Buch ""Becks letzter Sommer"" abschließen, das stellte Benedikt Wells nach einer Lesung fest.",full match,L7,F,J,match,match,critical,PM,Authors,Benedikt_Wells.jpg,
15,59,a,59a,Im Jahr,1925,werde ich,das,Buch,"""",Der Große Gatsby,"""",abschließen,",",das stellte,F. Scott Fitzgerald,nach einer Lesung fest.,"Im Jahr 1925 werde ich das Buch ""Der Große Gatsby"" abschließen, das stellte F. Scott Fitzgerald nach einer Lesung fest.",full match,L7,F,J,match,match,critical,PM,Authors,F.Scott_Fitzgerald.jpg,
16,62,d,62d,Im Jahr,2018,werde ich,in dem,Film,"""",Früchte des Zorns,"""",die Hauptrolle spielen,",",das versicherte,Orson Welles,der Presse.,"Im Jahr 2018 werde ich in dem Film ""Früchte des Zorns"" die Hauptrolle spielen, das versicherte Orson Welles der Presse.",life-fact mismatch,L7,F,J,mismatch,mismatch,critical,PM,Actors,Orson_Welles.jpg,
16,64,d,64d,Im Jahr,1941,werde ich,in dem,Film,"""",Tatort Münster,"""",die Hauptrolle spielen,",",das versicherte,Til Schweiger,der Presse.,"Im Jahr 1941 werde ich in dem Film ""Tatort Münster"" die Hauptrolle spielen, das versicherte Til Schweiger der Presse.",life-fact mismatch,L7,F,J,mismatch,mismatch,critical,PM,Actors,Til_Schweiger.jpg,
17,66,c,66c,Im Jahr,2017,werde ich,die,Nation,"""",U.S.A.,"""",regieren,",",das berichtete,Franklin D. Roosevelt,einer Tageszeitung.,"Im Jahr 2017 werde ich die Nation ""U.S.A."" regieren, das berichtete Franklin D. Roosevelt einer Tageszeitung.",life mismatch,L7,F,J,mismatch,match,critical,DP,Policitians,Franklin_D._Roosevelt.jpg,
17,68,c,68c,Im Jahr,1942,werde ich,die,Nation,"""",Russland,"""",regieren,",",das berichtete,Wladimir Putin,einer Tageszeitung.,"Im Jahr 1942 werde ich die Nation ""Russland"" regieren, das berichtete Wladimir Putin einer Tageszeitung.",life mismatch,L7,F,J,mismatch,match,critical,DP,Policitians,Wladimir_Putin.jpg,
18,70,b,70b,Im Jahr,2013,werde ich,das,Lied,"""",Wake me up,"""",veröffentlichen,",",das teilte,Lorde,den Medien mit.,"Im Jahr 2013 werde ich das Lied ""Wake me up"" veröffentlichen, das teilte Lorde den Medien mit.",fact mismatch,L7,F,J,match,mismatch,critical,PM,Musicians,Lorde.jpg,
18,72,b,72b,Im Jahr,1982,werde ich,das,Lied,"""",Sexual Healing,"""",veröffentlichen,",",das teilte,Falco,den Medien mit.,"Im Jahr 1982 werde ich das Lied ""Sexual Healing"" veröffentlichen, das teilte Falco den Medien mit.",fact mismatch,L7,F,J,match,mismatch,critical,PM,Musicians,Falco.jpg,
19,74,a,74a,Im Jahr,2017,werde ich,das,Land,"""",Nordkorea,"""",regieren,",",das äußerte,Kim Jong-un,auf einer Pressekonferenz.,"Im Jahr 2017 werde ich das Land ""Nordkorea"" regieren, das äußerte Kim Jong-un auf einer Pressekonferenz.",full match,L7,F,J,match,match,critical,AP,Policitians,Kim_Jong_Un.jpg,
19,76,a,76a,Im Jahr,1960,werde ich,das,Land,"""",Kuba,"""",regieren,",",das äußerte,Fidel Castro,auf einer Pressekonferenz.,"Im Jahr 1960 werde ich das Land ""Kuba"" regieren, das äußerte Fidel Castro auf einer Pressekonferenz.",full match,L7,F,J,match,match,critical,AP,Policitians,Fidel_Castro.jpg,
20,77,d,77d,Im Jahr,2008,werde ich,meine,Erfindung,"""",Glühbirne,"""",vermarkten,",",das schilderte,Henry Ford,einer Tageszeitung.,"Im Jahr 2008 werde ich meine Erfindung ""Glühbirne"" vermarkten, das schilderte Henry Ford einer Tageszeitung.",life-fact mismatch,L7,F,J,mismatch,mismatch,critical,AP,Creators,Henry_Ford.jpg,
20,79,d,79d,Im Jahr,1908,werde ich,meine,Erfindung,"""",Tesla Roadster,"""",vermarkten,",",das schilderte,Mark Zuckerberg,einer Tageszeitung.,"Im Jahr 1908 werde ich meine Erfindung ""Tesla Roadster"" vermarkten, das schilderte Mark Zuckerberg einer Tageszeitung.",life-fact mismatch,L7,F,J,mismatch,mismatch,critical,AP,Creators,Mark_Zuckerberg.jpg,
21,81,c,81c,Im Jahr,2016,werde ich,in dem,FIlm,"""",Der unsichtbare Dritte,"""",auftreten,",",das behauptete,Cary Grant,gegenüber einer Journalistin.,"Im Jahr 2016 werde ich in dem FIlm ""Der unsichtbare Dritte"" auftreten, das behauptete Cary Grant gegenüber einer Journalistin.",life mismatch,L7,F,J,mismatch,match,critical,PM,Actors,Cary_Grant.jpg,
21,83,c,83c,Im Jahr,1959,werde ich,in dem,Film,"""",Suicide Squad,"""",auftreten,",",das behauptete,Margot Robbie,gegenüber einer Journalistin.,"Im Jahr 1959 werde ich in dem Film ""Suicide Squad"" auftreten, das behauptete Margot Robbie gegenüber einer Journalistin.",life mismatch,L7,F,J,mismatch,match,critical,PM,Actors,Margot_Robbie.jpg,
22,85,b,85b,Im Jahr,2018,werde ich,in dem,Film,"""",A Star is Born,"""",mitspielen,",",das verkündete,Emma Stone,auf dem roten Teppich.,"Im Jahr 2018 werde ich in dem Film ""A Star is Born"" mitspielen, das verkündete Emma Stone auf dem roten Teppich.",fact mismatch,L7,F,J,match,mismatch,critical,PM,Actors,Emma_Stone.jpg,
22,87,b,87b,Im Jahr,1962,werde ich,in dem,Film,"""",Doktor Schiwago,"""",mitspielen,",",das verkündete,John Wayne,auf dem roten Teppich.,"Im Jahr 1962 werde ich in dem Film ""Doktor Schiwago"" mitspielen, das verkündete John Wayne auf dem roten Teppich.",fact mismatch,L7,F,J,match,mismatch,critical,PM,Actors,John_Wayne.jpg,
23,89,a,89a,Im Jahr,1999,werde ich,in dem,Film,"""",Matrix,"""",zu sehen sein,",",das meinte,Keanu Reeves,auf Nachfrage.,"Im Jahr 1999 werde ich in dem Film ""Matrix"" zu sehen sein, das meinte Keanu Reeves auf Nachfrage.",full match,L7,F,J,match,match,critical,PM,Actors,Keanu_Reeves.jpg,
23,91,a,91a,Im Jahr,1964,werde ich,in dem,Film,"""",My Fair Lady,"""",zu sehen sein,",",das meinte,Audrey Hepburn,auf Nachfrage.,"Im Jahr 1964 werde ich in dem Film ""My Fair Lady"" zu sehen sein, das meinte Audrey Hepburn auf Nachfrage.",full match,L7,F,J,match,match,critical,PM,Actors,Audrey_Hepburn.jpg,
24,94,d,94d,Im Jahr,2014,werde ich,in dem,Film,"""",Aguirre - Der Zorn Gottes,"""",die Hauptrolle spielen,",",das erzählte,Bruce Lee,interessierten Fans.,"Im Jahr 2014 werde ich in dem Film ""Aguirre - Der Zorn Gottes"" die Hauptrolle spielen, das erzählte Bruce Lee interessierten Fans.",life-fact mismatch,L7,F,J,mismatch,mismatch,critical,PM,Actors,Bruce_Lee.jpg,
24,96,d,96d,Im Jahr,1972,werde ich,in dem,FIlm,"""",The Imitation Game,"""",die Hauptrolle spielen,",",das erzählte,Chris Pratt,interessierten Fans.,"Im Jahr 1972 werde ich in dem FIlm ""The Imitation Game"" die Hauptrolle spielen, das erzählte Chris Pratt interessierten Fans.",life-fact mismatch,L7,F,J,mismatch,mismatch,critical,PM,Actors,Chris_Pratt.jpg,
25,98,c,98c,Im Jahr,2014,werde ich,das,Lied,"""",Stand By Me,"""",herausbringen,",",das stellte,John Lennon,bei einer Pressekonferenz fest.,"Im Jahr 2014 werde ich das Lied ""Stand By Me"" herausbringen, das stellte John Lennon bei einer Pressekonferenz fest.",life mismatch,L7,F,J,mismatch,match,critical,AP,Musicians,John_Lennon.jpg,
25,100,c,100c,Im Jahr,1975,werde ich,das,Lied,"""",Rolling in the Deep,"""",herausbringen,",",das stellte,Adele,bei einer Pressekonferenz fest.,"Im Jahr 1975 werde ich das Lied ""Rolling in the Deep"" herausbringen, das stellte Adele bei einer Pressekonferenz fest.",life mismatch,L7,F,J,mismatch,match,critical,AP,Musicians,Adele.jpg,
26,102,b,102b,Im Jahr,1990,werde ich,in dem,Film,"""",Der mit dem Wolf tanzt,"""",auftreten,",",das versicherte,Macaulay Culkin,den Medien.,"Im Jahr 1990 werde ich in dem Film ""Der mit dem Wolf tanzt"" auftreten, das versicherte Macaulay Culkin den Medien.",fact mismatch,L7,F,J,match,mismatch,critical,PM,Actors,Macaulay_Culkin.jpg,
26,104,b,104b,Im Jahr,1955,werde ich,in dem,Film,"""",Über den Dächern von Nizza,"""",auftreten,",",das versicherte,Spencer Tracy,den Medien.,"Im Jahr 1955 werde ich in dem Film ""Über den Dächern von Nizza"" auftreten, das versicherte Spencer Tracy den Medien.",fact mismatch,L7,F,J,match,mismatch,critical,PM,Actors,Spencer_Tracy.jpg,
27,106,a,106a,Im Jahr,2017,werde ich,das,Lied,"""",Shape of You,"""",aufnehmen,",",das berichtete,Ed Sheeran,auf einer Aftershowparty.,"Im Jahr 2017 werde ich das Lied ""Shape of You"" aufnehmen, das berichtete Ed Sheeran auf einer Aftershowparty.",full match,L7,F,J,match,match,critical,PM,Musicians,Ed_Sheeran.jpg,
27,108,a,108a,Im Jahr,1991,werde ich,das,Lied,"""",Cream,"""",aufnehmen,",",das berichtete,Prince,auf einer Aftershowparty.,"Im Jahr 1991 werde ich das Lied ""Cream"" aufnehmen, das berichtete Prince auf einer Aftershowparty.",full match,L7,F,J,match,match,critical,PM,Musicians,Prince.jpg,
28,109,d,109d,Im Jahr,2016,werde ich,das,Buch,"""",Oliver Twist,"""",fertigstellen,",",das teilte,Georg Büchner,der Presse mit.,"Im Jahr 2016 werde ich das Buch ""Oliver Twist"" fertigstellen, das teilte Georg Büchner der Presse mit.",life-fact mismatch,L7,F,J,mismatch,mismatch,critical,PM,Authors,Georg_Büchner.jpg,
28,111,d,111d,Im Jahr,1837,werde ich,das,Buch,"""",Panikherz,"""",fertigstellen,",",das teilte,Simon Beckett,der Presse mit.,"Im Jahr 1837 werde ich das Buch ""Panikherz"" fertigstellen, das teilte Simon Beckett der Presse mit.",life-fact mismatch,L7,F,J,mismatch,mismatch,critical,PM,Authors,Simon_Beckett.jpg,
29,113,c,113c,Im Jahr,2013,werde ich,das,Lied,"""",Sag mir wo die Blumen sind,"""",veröffentlichen,",",das äußerte,Marlene Dietrich,gegenüber interessierten Fans.,"Im Jahr 2013 werde ich das Lied ""Sag mir wo die Blumen sind"" veröffentlichen, das äußerte Marlene Dietrich gegenüber interessierten Fans.",life mismatch,L7,F,J,mismatch,match,critical,AP,Musicians,Marlene_Dietrich.jpg,
29,115,c,115c,Im Jahr,1967,werde ich,das,Lied,"""",Atemlos durch die Nacht,"""",veröffentlichen,",",das äußerte,Helene Fischer,gegenüber interessierten Fans.,"Im Jahr 1967 werde ich das Lied ""Atemlos durch die Nacht"" veröffentlichen, das äußerte Helene Fischer gegenüber interessierten Fans.",life mismatch,L7,F,J,mismatch,match,critical,AP,Musicians,Helene_Fischer.jpg,
30,117,b,117b,Im Jahr,2011,werde ich,das,Lied,"""",Call Me Maybe,"""",herausbringen,",",das schilderte,Lady Gaga,in einem Interview.,"Im Jahr 2011 werde ich das Lied ""Call Me Maybe"" herausbringen, das schilderte Lady Gaga in einem Interview.",fact mismatch,L7,F,J,match,mismatch,critical,AP,Musicians,Lady_Gaga.jpg,
30,119,b,119b,Im Jahr,1956,werde ich,das,Lied,"""",Stormy Blues,"""",herausbringen,",",das schilderte,Elvis Presley,in einem Interview.,"Im Jahr 1956 werde ich das Lied ""Stormy Blues"" herausbringen, das schilderte Elvis Presley in einem Interview.",fact mismatch,L7,F,J,match,mismatch,critical,AP,Musicians,Elvis_Presley.jpg,
31,121,a,121a,Im Jahr,2010,werde ich,das,Lied,"""",Love the Way You Lie,"""",aufnehmen,",",das behauptete,Rihanna,auf einer Aftershowparty.,"Im Jahr 2010 werde ich das Lied ""Love the Way You Lie"" aufnehmen, das behauptete Rihanna auf einer Aftershowparty.",full match,L7,F,J,match,match,critical,AP,Musicians,Rihanna.jpg,
31,123,a,123a,Im Jahr,1965,werde ich,das,Lied,"""",I Put a Spell on You,"""",aufnehmen,",",das behauptete,Nina Simone,auf einer Aftershowparty.,"Im Jahr 1965 werde ich das Lied ""I Put a Spell on You"" aufnehmen, das behauptete Nina Simone auf einer Aftershowparty.",full match,L7,F,J,match,match,critical,AP,Musicians,Nina_Simone.jpg,
32,126,d,126d,Im Jahr,2012,werde ich,in dem,Film,"""",Lawrence von Arabien,"""",mitspielen,",",das verkündete,Marlon Brando,der Öffentlichkeit.,"Im Jahr 2012 werde ich in dem Film ""Lawrence von Arabien"" mitspielen, das verkündete Marlon Brando der Öffentlichkeit.",life-fact mismatch,L7,F,J,mismatch,mismatch,critical,PM,Actors,Marlon_Brando.jpg,
32,128,d,128d,Im Jahr,1962,werde ich,in dem,Film,"""",James Bond: Skyfall,"""",mitspielen,",",das verkündete,Jamie Foxx,der Öffentlichkeit.,"Im Jahr 1962 werde ich in dem Film ""James Bond: Skyfall"" mitspielen, das verkündete Jamie Foxx der Öffentlichkeit.",life-fact mismatch,L7,F,J,mismatch,mismatch,critical,PM,Actors,Jamie_Foxx.jpg,
33,130,c,130c,Im Jahr,2001,werde ich,das,Buch,"""",Grundsätze des Kommunismus,"""",publizieren,",",das meinte,Friedrich Engels,nach einer Lesung.,"Im Jahr 2001 werde ich das Buch ""Grundsätze des Kommunismus"" publizieren, das meinte Friedrich Engels nach einer Lesung.",life mismatch,L7,F,J,mismatch,match,critical,PM,Authors,Friedrich_Engels.jpg,
33,132,c,132c,Im Jahr,1847,werde ich,das,Buch,"""",Schiffbruch mit Tiger,"""",publizieren,",",das meinte,Yann Martel,nach einer Lesung.,"Im Jahr 1847 werde ich das Buch ""Schiffbruch mit Tiger"" publizieren, das meinte Yann Martel nach einer Lesung.",life mismatch,L7,F,J,mismatch,match,critical,PM,Authors,Yann_Martel.jpg,
34,134,b,134b,Im Jahr,2000,werde ich,das,Buch,"""",Illuminati,"""",abschließen,",",das erzählte,J.K. Rowling,auf Nachfrage.,"Im Jahr 2000 werde ich das Buch ""Illuminati"" abschließen, das erzählte J.K. Rowling auf Nachfrage.",fact mismatch,L7,F,J,match,mismatch,critical,PM,Authors,JK_Rowling.jpg,
34,136,b,136b,Im Jahr,1865,werde ich,das,Buch,"""",Max und Moritz,"""",abschließen,",",das erzählte,Lewis Carroll,auf Nachfrage.,"Im Jahr 1865 werde ich das Buch ""Max und Moritz"" abschließen, das erzählte Lewis Carroll auf Nachfrage.",fact mismatch,L7,F,J,match,mismatch,critical,PM,Authors,Lewis_Carroll.jpg,
35,138,a,138a,Im Jahr,1996,werde ich,das,Buch,"""",Infinite Jest,"""",fertigstellen,",",das stellte,David Foster Wallace,in einer Fragerunde fest.,"Im Jahr 1996 werde ich das Buch ""Infinite Jest"" fertigstellen, das stellte David Foster Wallace in einer Fragerunde fest.",full match,L7,F,J,match,match,critical,PM,Authors,David_Foster_Wallace.jpg,
35,140,a,140a,Im Jahr,1842,werde ich,das,Buch,"""",Die Judenbuche,"""",fertigstellen,",",das stellte,Annette von Droste-Hülshoff,in einer Fragerunde fest.,"Im Jahr 1842 werde ich das Buch ""Die Judenbuche"" fertigstellen, das stellte Annette von Droste-Hülshoff in einer Fragerunde fest.",full match,L7,F,J,match,match,critical,PM,Authors,Annette_von_Droste-Hülshoff.jpg,
36,141,d,141d,Im Jahr,2009,werde ich,in dem,Film,"""",Blues Brothers,"""",zu sehen sein,",",das versicherte,Christopher Reeve,einem Reporter.,"Im Jahr 2009 werde ich in dem Film ""Blues Brothers"" zu sehen sein, das versicherte Christopher Reeve einem Reporter.",life-fact mismatch,L7,F,J,mismatch,mismatch,critical,PM,Actors,Christopher_Reeve.jpg,
36,143,d,143d,Im Jahr,1980,werde ich,in dem,Film,"""",Star Trek,"""",zu sehen sein,",",das versicherte,Taylor Lautner,einem Reporter.,"Im Jahr 1980 werde ich in dem Film ""Star Trek"" zu sehen sein, das versicherte Taylor Lautner einem Reporter.",life-fact mismatch,L7,F,J,mismatch,mismatch,critical,PM,Actors,Taylor_Lautner.jpg,
37,145,c,145c,Im Jahr,2018,werde ich,das,Buch,"""",Die drei Musketiere,"""",publizieren,",",das berichtete,Alexandre Dumas,einer Journalistin.,"Im Jahr 2018 werde ich das Buch ""Die drei Musketiere"" publizieren, das berichtete Alexandre Dumas einer Journalistin.",life mismatch,L7,F,J,mismatch,match,critical,PM,Authors,Alexandre_Dumas.jpg,
37,147,c,147c,Im Jahr,1844,werde ich,das,Buch,"""",12 Rules for Life,"""",publizieren,",",das berichtete,Jordan Peterson,einer Journalistin.,"Im Jahr 1844 werde ich das Buch ""12 Rules for Life"" publizieren, das berichtete Jordan Peterson einer Journalistin.",life mismatch,L7,F,J,mismatch,match,critical,PM,Authors,Jordan_Peterson.jpg,
